date,name,played,cycles,hunger,items
2024-12-09 10:43:52.322170,HENRY,12.020405054092407,1,0,[]
2024-12-09 10:48:01.136929,TEST,12.019788026809692,1,0,[]
2024-12-09 10:49:10.355497,TEST1,12.019568920135498,1,0,[]
2024-12-09 10:53:21.105176,TEST3,12.018447160720825,1,0,[]
2024-12-09 11:06:42.057946,TESTPLEAE,12.020188093185425,1,0,[]
2024-12-09 11:08:08.917418,TESTPLZZZ,12.016231060028076,1,0,[]
2024-12-09 11:10:28.538039,TESTPLZ,12.015944242477417,1,0,[]
2024-12-09 11:11:47.321953,HENRY,12.017448902130127,1,0,[]
2024-12-09 11:51:39.968964,RED,0.00011277198791503906,1,0,[]
2024-12-09 11:53:19.209845,HENR,6.580352783203125e-05,1,0,[]
2024-12-09 11:53:58.420387,RED,7.510185241699219e-05,1,0,[]
2024-12-09 11:54:55.185669,RED,6.4849853515625e-05,1,0,[]
2024-12-09 11:58:07.989519,HEN,7.486343383789062e-05,1,0,[]
2024-12-09 11:59:56.912228,HENRY,9.083747863769531e-05,1,0,[]
2024-12-09 12:00:39.340093,RED,7.891654968261719e-05,1,0,[]
2024-12-09 12:03:33.765084,TEST,8.082389831542969e-05,1,0,[]
